dataset,outcome,method,feature,n_users,coef_mean,coef_sd,r2_mean,n_keysets,coef_sign,abs_coef_mean
sam,centered,dnntsp,adjacent_basket_jaccard,3678.0,-0.0036249642069877378,0.02593597193680612,0.03327995534247415,3,mixed,0.0036249642069877378
sam,centered,recency,relational_strength,3678.0,-0.003304840959355567,0.009460426647055547,0.11146275527865264,3,mixed,0.003304840959355567
sam,centered,recency,transition_strength,3678.0,0.0031880930938356995,0.007097455734664665,0.11146275527865264,3,mixed,0.0031880930938356995
sam,centered,tifuknn,transition_strength,3678.0,0.0028437686328940987,0.008194804635189542,0.06305268388337155,3,mixed,0.0028437686328940987
sam,centered,cbp,adjacent_basket_jaccard,3678.0,0.0027538640599104585,0.004590659306639495,0.0670183283168196,3,mixed,0.0027538640599104585
sam,centered,frequency,relational_strength,3678.0,-0.0027055115885558094,0.0015482796874955406,0.07217947071327309,3,negative,0.0027055115885558094
sam,centered,cbp,transition_strength,3678.0,0.002543997097737624,0.0015027657346247086,0.0670183283168196,3,positive,0.002543997097737624
sam,centered,tifuknn,popularity_profile,3678.0,-0.0025368023074859012,0.004617561329858844,0.06305268388337155,3,mixed,0.0025368023074859012
sam,centered,frequency,recent_basket_novelty,3678.0,-0.0022748318299943473,0.0035947792367850397,0.07217947071327309,3,mixed,0.0022748318299943473
sam,centered,cbp,popularity_profile,3678.0,0.0021080033741099134,0.0032937235286471067,0.0670183283168196,3,mixed,0.0021080033741099134
sam,centered,tifuknn,recent_basket_novelty,3678.0,0.0016180480220929383,0.001048905375063602,0.06305268388337155,3,positive,0.0016180480220929383
sam,centered,triple2vec,transition_strength,3678.0,-0.0015554397735298203,0.008587039545544295,0.07120148539572135,3,mixed,0.0015554397735298203
sam,centered,frequency,popularity_profile,3678.0,-0.001187066879738034,0.0035016842019666957,0.07217947071327309,3,mixed,0.001187066879738034
sam,centered,triple2vec,recent_basket_novelty,3678.0,-0.0011491600521698134,0.0029893072044314467,0.07120148539572135,3,mixed,0.0011491600521698134
sam,centered,cbp,recent_basket_novelty,3678.0,0.0008035422811047281,0.002969028397321816,0.0670183283168196,3,mixed,0.0008035422811047281
sam,centered,triple2vec,popularity_profile,3678.0,-0.0006525231097847106,0.006716886724011903,0.07120148539572135,3,mixed,0.0006525231097847106
sam,centered,frequency,avg_basket_size,3678.0,-0.0006252977574026392,0.0018919667244317153,0.07217947071327309,3,mixed,0.0006252977574026392
