dataset,feature,min_baskets,method,n_users_slice,n_users_feature,rho_raw_mean,rho_raw_sd,rho_centered_mean,rho_centered_sd,n_keysets,rho_centered_sign
dunnhumby,transition_strength,5,dnntsp,3184.3333333333335,3184.3333333333335,0.1547382411371839,0.02573211049509328,-0.0019661206283983616,0.019217048204247474,3,mixed
dunnhumby,transition_strength,5,fpmc,3184.3333333333335,3184.3333333333335,0.11371874357926137,0.013840180714898318,-0.13712474651792259,0.015477810940677647,3,negative
dunnhumby,transition_strength,5,frequency,3184.3333333333335,3184.3333333333335,0.1671615178420072,0.017663676753998873,0.08578943858814554,0.01332758673144526,3,positive
dunnhumby,transition_strength,5,recency,3184.3333333333335,3184.3333333333335,0.17794503532109704,0.02737043726965039,-0.027781541590046876,0.02120848708192035,3,negative
dunnhumby,transition_strength,5,tifuknn,3184.3333333333335,3184.3333333333335,0.1763651684326308,0.019220039804108816,0.09949873760113064,0.013382464320631952,3,positive
dunnhumby,transition_strength,5,triple2vec,3184.3333333333335,3184.3333333333335,0.16909854660195234,0.01716725061440792,0.06543562736226363,0.007324447507999739,3,positive
instacart,relational_strength,2,cbp,4124.0,4124.0,0.19856091260709655,0.015168843045822781,0.10620359890138818,0.026068481075844648,3,positive
instacart,relational_strength,2,diffrec,4124.0,4124.0,0.15819033959852868,0.014332475025494036,-0.01651399082634304,0.009202316386160201,3,negative
instacart,relational_strength,2,dnntsp,4124.0,4124.0,0.1896529513102545,0.008457150202569243,0.03904818037884123,0.010518913875723639,3,positive
instacart,relational_strength,2,fpmc,4124.0,4124.0,0.15316217576761879,0.019169861229302212,-0.09094534437631152,0.0049874593410888885,3,negative
instacart,relational_strength,2,frequency,4124.0,4124.0,0.19651888852157828,0.011559339111137296,0.10840137102807225,0.007950185024646433,3,positive
instacart,relational_strength,2,recency,4124.0,4124.0,0.1323476492010552,0.009527781973909485,-0.07354319386567225,0.0078073161150389045,3,negative
instacart,relational_strength,2,tifuknn,4124.0,4124.0,0.19293099456929094,0.008047882163436151,0.09169370807688282,0.009645009442035841,3,positive
instacart,relational_strength,2,triple2vec,4124.0,4124.0,0.17522923269446924,0.02295266453179494,0.06527969184090998,0.03169360493303684,3,positive
instacart,relational_strength,3,cbp,3946.6666666666665,3946.6666666666665,0.20526225804451512,0.015877337176624547,0.11136303137863118,0.029205983630706096,3,positive
instacart,relational_strength,3,diffrec,3946.6666666666665,3946.6666666666665,0.16039027717580293,0.015496738262212435,-0.01979438405763556,0.008306470213545913,3,negative
instacart,relational_strength,3,dnntsp,3946.6666666666665,3946.6666666666665,0.19563255969258542,0.010217012212871463,0.04229199617677832,0.014075104848470658,3,positive
instacart,relational_strength,3,fpmc,3946.6666666666665,3946.6666666666665,0.155853082719715,0.01791164682676809,-0.0939914605780066,0.005193694417495374,3,negative
instacart,relational_strength,3,frequency,3946.6666666666665,3946.6666666666665,0.2022430753507084,0.011952427592717377,0.11012535897308286,0.009673751317522045,3,positive
instacart,relational_strength,3,recency,3946.6666666666665,3946.6666666666665,0.13957651156308418,0.01100111432342812,-0.07006761052299955,0.007889067512836008,3,negative
instacart,relational_strength,3,tifuknn,3946.6666666666665,3946.6666666666665,0.1995204540785418,0.008027374734328248,0.09588103220991588,0.009560965452052502,3,positive
instacart,relational_strength,3,triple2vec,3946.6666666666665,3946.6666666666665,0.18071188697278692,0.02637567671972827,0.06837040680592554,0.03483402777360563,3,positive
instacart,relational_strength,5,cbp,3102.3333333333335,3102.3333333333335,0.2202012346318074,0.014927907422392254,0.12056311681492055,0.027701244576195713,3,positive
instacart,relational_strength,5,diffrec,3102.3333333333335,3102.3333333333335,0.1634842919556282,0.019969435089464152,-0.03398935768426953,0.01254192882756296,3,negative
instacart,relational_strength,5,dnntsp,3102.3333333333335,3102.3333333333335,0.1943977243590874,0.017280443314463264,0.0242985298219458,0.015148110218973119,3,positive
instacart,relational_strength,5,fpmc,3102.3333333333335,3102.3333333333335,0.17472993582862653,0.008090919617633844,-0.09068932837274868,0.009575660720848039,3,negative
instacart,relational_strength,5,frequency,3102.3333333333335,3102.3333333333335,0.21787035421489184,0.01562962868658014,0.11841506219989865,0.016481825171434508,3,positive
instacart,relational_strength,5,recency,3102.3333333333335,3102.3333333333335,0.15824574042253556,0.01039732257247785,-0.06391435632693056,0.009154163311367314,3,negative
instacart,relational_strength,5,tifuknn,3102.3333333333335,3102.3333333333335,0.21436594041999843,0.010184151654244772,0.10379379485259703,0.00805810808288662,3,positive
instacart,relational_strength,5,triple2vec,3102.3333333333335,3102.3333333333335,0.19564715990785442,0.026834854160116252,0.07912100942554576,0.02061699805755494,3,positive
instacart,transition_strength,2,cbp,4124.0,4124.0,0.20239456450444318,0.011200033650667117,0.11948329596490166,0.01385609843197749,3,positive
